Circular move current pose report
Start time: 2026-06-03T10:42:09
TOOL_INDEX: 1
TOOL_FRAME: {-0.444257,-0.560915,220.3881648,0,0,-92}
Circle center mode: matrix calculation from real tool pose
Circle center offset in real tool frame: {0,0,CIRCLE_RADIUS_MM}
SUBCUTANEOUS_SCAN_DISTANCE_MM: 15.0
CIRCLE_RADIUS_MM: 35.0
Radius move delta along user Z: 20.0
CIRCLE_ARC_DEG: 120.0
CIRCLE_TOTAL_STEPS: 120
CIRCLE_APPROACH_OFFSET_MM: 100.0
Reported current pose frame: user=0, tool=1, tool_frame={-0.444257,-0.560915,220.3881648,0,0,-92}

2026-06-03T10:42:22 | real_tool_start_pose | current_pose=[-206.7879, 601.8346, 229.1134, -171.7376, 19.0603, 32.3495]
2026-06-03T10:42:31 | radius_adjusted_pose | current_pose=[-206.7879, 601.8346, 249.1134, 180.0, 0.0, 32.3495]
2026-06-03T10:43:03 | start pose | current_pose=[-176.477, 601.8346, 231.6134, -137.176, 47.0222, 51.712] | target_pose=[-176.47701086754466, 601.8346, 231.6134, -137.17595720054314, 47.02222127177333, 51.71204941808307]
2026-06-03T10:43:04 | circle point 2/121 | current_pose=[-176.787, 601.8346, 232.1397, -138.3141, 46.3969, 50.8836] | target_pose=[-176.7870444754261, 601.8346, 232.13973262185192, -138.31408358936363, 46.396922954368534, 50.88359650543205]
2026-06-03T10:43:04 | circle point 3/121 | current_pose=[-177.1062, 601.8346, 232.6606, -139.4262, 45.7606, 50.0825] | target_pose=[-177.1062166345251, 601.8346, 232.6605742481622, -139.42619741086085, 45.760591461124136, 50.0825231639418]
2026-06-03T10:43:05 | circle point 4/121 | current_pose=[-177.4344, 601.8346, 233.1758, -140.513, 45.1137, 49.3082] | target_pose=[-177.43443012191017, 601.8346, 233.17576622552596, -140.51302516898775, 45.113715322756605, 49.30815504140011]
2026-06-03T10:43:06 | circle point 5/121 | current_pose=[-177.7716, 601.8346, 233.6852, -141.5753, 44.4568, 48.5598] | target_pose=[-177.77158496057353, 601.8346, 233.68515162147617, -141.57530342770212, 44.45676363864928, 48.559808552498964]
2026-06-03T10:43:06 | circle point 6/121 | current_pose=[-178.1176, 601.8346, 234.1886, -142.6138, 43.7902, 47.8368] | target_pose=[-178.1175784498853, 601.8346, 234.18857527228664, -142.61377416705506, 43.79018640618568, 47.836795558455094]
2026-06-03T10:43:07 | circle point 7/121 | current_pose=[-178.4723, 601.8346, 234.6859, -143.6292, 43.1144, 47.1384] | target_pose=[-178.47230519687685, 601.8346, 234.68588383023658, -143.62918073152596, 43.114414930093005, 47.13842745541365]
2026-06-03T10:43:08 | circle point 8/121 | current_pose=[-178.8357, 601.8346, 235.1769, -144.6223, 42.4299, 46.464] | target_pose=[-178.83565714834475, 601.8346, 235.1769258103217, -144.62226432440482, 42.42986229605856, 46.464018717885125]
2026-06-03T10:43:09 | circle point 9/121 | current_pose=[-179.2075, 601.8346, 235.6616, -145.5938, 41.7369, 45.8129] | target_pose=[-179.20752362376473, 601.8346, 235.66155163639806, -145.59376100166773, 41.73692389472723, 45.8128899438218]
2026-06-03T10:43:09 | circle point 10/121 | current_pose=[-179.5878, 601.8346, 236.1396, -146.5444, 41.036, 45.1844] | target_pose=[-179.587791349006, 601.8346, 236.13961368674433, -146.54439911949544, 41.03597798392116, 45.184370447239075]
2026-06-03T10:43:10 | circle point 11/121 | current_pose=[-179.9763, 601.8346, 236.611, -147.4749, 40.3274, 44.5778] | target_pose=[-179.97634449083577, 601.8346, 236.6109663390289, -147.47489719108327, 40.32738627853442, 44.577800442791045]
2026-06-03T10:43:11 | circle point 12/121 | current_pose=[-180.3731, 601.8346, 237.0755, -148.386, 39.6115, 43.9925] | target_pose=[-180.373064692203, 601.8346, 237.07546601466777, -148.385962110461, 39.611494559029836, 43.9925328646402]
2026-06-03T10:43:11 | circle point 13/121 | current_pose=[-180.7778, 601.8346, 237.533, -149.2783, 38.8886, 43.4279] | target_pose=[-180.7778311082912, 601.8346, 237.53297122256004, -149.27828770350376, 38.88863329080468, 43.42793485950358]
2026-06-03T10:43:12 | circle point 14/121 | current_pose=[-181.1905, 601.8346, 237.9833, -150.1526, 38.1591, 42.8834] | target_pose=[-181.19052044332904, 601.8346, 237.98334260218746, -150.1525535690164, 38.15911824789498, 42.88338899105685]
2026-06-03T10:43:13 | circle point 15/121 | current_pose=[-181.611, 601.8346, 238.4264, -151.0094, 37.4233, 42.3583] | target_pose=[-181.6110069881472, 601.8346, 238.4264429660649, -151.0094241755984, 37.423251135559354, 42.35829419005748]
2026-06-03T10:43:13 | circle point 16/121 | current_pose=[-182.0392, 601.8346, 238.8621, -151.8495, 36.6813, 41.8521] | target_pose=[-182.03916265847084, 601.8346, 238.86213734152918, -151.84954818285024, 36.6813202072326, 41.852066481696625]
2026-06-03T10:43:14 | circle point 17/121 | current_pose=[-182.4749, 601.8346, 239.2903, -152.6736, 35.9336, 41.3641] | target_pose=[-182.4748570339351, 601.8346, 239.2902930118528, -152.67355795829596, 35.93360087217013, 41.36413951887866]
2026-06-03T10:43:15 | circle point 18/121 | current_pose=[-182.918, 601.8346, 239.7108, -153.4821, 35.1804, 40.894] | target_pose=[-182.91795739781256, 601.8346, 239.71077955667099, -153.48206926411808, 35.18035629083144, 40.89396494740902]
2026-06-03T10:43:16 | circle point 19/121 | current_pose=[-183.3683, 601.8346, 240.1235, -154.2757, 34.4218, 40.441] | target_pose=[-183.36832877743996, 601.8346, 240.1234688917088, -154.27568109039572, 34.42183795567766, 40.441012626481324]
2026-06-03T10:43:16 | circle point 20/121 | current_pose=[-183.8258, 601.8346, 240.5282, -155.055, 33.6583, 40.0048] | target_pose=[-183.82583398533225, 601.8346, 240.52823530779705, -155.05497561397547, 33.65828625560036, 40.00477072541668]
2026-06-03T10:43:17 | circle point 21/121 | current_pose=[-184.2903, 601.8346, 240.925, -155.8205, 32.8899, 39.5847] | target_pose=[-184.29033366097113, 601.8346, 240.92495550916425, -155.82051826438138, 32.88993102266079, 39.58474571533836]
2026-06-03T10:43:18 | circle point 22/121 | current_pose=[-184.7617, 601.8346, 241.3135, -156.5729, 32.117, 39.1805] | target_pose=[-184.7616863132557, 601.8346, 241.31350865099398, -156.57285788026928, 32.11699206021072, 39.180462272368004]
2026-06-03T10:43:18 | circle point 23/121 | current_pose=[-185.2397, 601.8346, 241.6938, -157.3125, 31.3397, 38.7915] | target_pose=[-185.23974836360196, 601.8346, 241.6937763762353, -157.31252694185721, 31.339679651798235, 38.79146310700844]
2026-06-03T10:43:19 | circle point 24/121 | current_pose=[-185.7244, 601.8346, 242.0656, -158.04, 30.5582, 38.4173] | target_pose=[-185.72437418967831, 601.8346, 242.06564285165527, -158.04004186651795, 30.55819505053819, 38.41730873262793]
2026-06-03T10:43:20 | circle point 25/121 | current_pose=[-186.2154, 601.8346, 242.429, -158.7559, 29.7727, 38.0576] | target_pose=[-186.21541616976344, 601.8346, 242.42899480312317, -158.75590335630832, 29.77273094885723, 38.05757718437627]
